LabMember,Project,Lab,,,,,,,
K.Lee,Neural basis of affective experience,Affective and Brain Sciences Lab,,,,,,,
K.Lee,Concepts and Emotion,Affective and Brain Sciences Lab,,,,,,,
S.Fiedler,"Examining functional activity in human brain stem nuclei using high resolution, ultra-high Field (7T) fMRI",Affective and Brain Sciences Lab,,,,,,,
Y.Wang,Neural basis of affective experience,Affective and Brain Sciences Lab,,,,,,,
Y.Wang,Modeling networks and network dynamics,Affective and Brain Sciences Lab,,,,,,,
A.Iancarelli,Modeling networks and network dynamics,Affective and Brain Sciences Lab,,,,,,,
K.McVeigh,Concepts and Emotion,Affective and Brain Sciences Lab,,,,,,,
E.Diederich,"Examining functional activity in human brain stem nuclei using high resolution, ultra-high Field (7T) fMRI",Affective and Brain Sciences Lab,,,,,,,
I.Korogodsky,Modeling networks and network dynamics,Affective and Brain Sciences Lab,,,,,,,
N.Chaudhary,Neural basis of affective experience,Affective and Brain Sciences Lab,,,,,,,
L.Christenson,Cognitive control in social and affective neuroscience,Affective and Brain Sciences Lab,,,,,,,
J.Apfeld,Examining how the braing regulates aging and resilience to stress,Apfeld Lab,,,,,,,
J.Norris,Examining how the braing regulates aging and resilience to stress,Apfeld Lab,,,,,,,
F.Servello,Examining how the braing regulates aging and resilience to stress,Apfeld Lab,,,,,,,
Y.Xu,Examining how the braing regulates aging and resilience to stress,Apfeld Lab,,,,,,,
S.Stumbur,Examining how the braing regulates aging and resilience to stress,Apfeld Lab,,,,,,,
N.Patel,Examining how the braing regulates aging and resilience to stress,Apfeld Lab,,,,,,,
A.Lindberg,Examining how the braing regulates aging and resilience to stress,Apfeld Lab,,,,,,,
N.Gong,Examining how the braing regulates aging and resilience to stress,Apfeld Lab,,,,,,,
M.Ondrechen,In Silico Small Molecule Design,Ondrechen Lab,,,,,,,
M.Ondrechen,Remote residue participation in Enzyme catalysis,Ondrechen Lab,,,,,,,
M.Ondrechen,Superfamily and Structural Genomics Research,Ondrechen Lab,,,,,,,
L.Ruffner,Superfamily and Structural Genomics Research,Ondrechen Lab,,,,,,,
S.Watson,Superfamily and Structural Genomics Research,Ondrechen Lab,,,,,,,
S.Watson,In Silico Small Molecule Design,Ondrechen Lab,,,,,,,
S.Lyengar,Remote residue participation in Enzyme catalysis,Ondrechen Lab,,,,,,,
M.Trumble,Remote residue participation in Enzyme catalysis,Ondrechen Lab,,,,,,,
M.Trumble,In Silico Small Molecule Design,Ondrechen Lab,,,,,,,
L.Kankanamge,Remote residue participation in Enzyme catalysis,Ondrechen Lab,,,,,,,
K.Barnsley,In Silico Small Molecule Design,Ondrechen Lab,,,,,,,
E.Micheloni,Remote residue participation in Enzyme catalysis,Ondrechen Lab,,,,,,,
J.Agar,Superfamily and Structural Genomics Research,Ondrechen Lab,,,,,,,
P.Beuning,In Silico Small Molecule Design,Ondrechen Lab,,,,,,,
D.Erdogmus,Remote residue participation in Enzyme catalysis,Ondrechen Lab,,,,,,,
J.Ko,Superfamily and Structural Genomics Research,Ondrechen Lab,,,,,,,
D.Hilvert,In Silico Small Molecule Design,Ondrechen Lab,,,,,,,
D.Amador,Remote residue participation in Enzyme catalysis,Ondrechen Lab,,,,,,,
M.Hong,Superfamily and Structural Genomics Research,Ondrechen Lab,,,,,,,
J.Sundaram,In Silico Small Molecule Design,Ondrechen Lab,,,,,,,
Y.Vu,Remote residue participation in Enzyme catalysis,Ondrechen Lab,,,,,,,
P.Beuning,Persisters,Lewis Lab,,,,,,,
P.Beuning,Uncultured Bacteria,Lewis Lab,,,,,,,
P.Beuning,Lyme Disease,Lewis Lab,,,,,,,
P.Beuning,Drug Discovery,Lewis Lab,,,,,,,
L.Ruffner,Persisters,Lewis Lab,,,,,,,
H.Stern,Uncultured Bacteria,Lewis Lab,,,,,,,
J.McIsaac,Lyme Disease,Lewis Lab,,,,,,,
S.Watson,Drug Discovery,Lewis Lab,,,,,,,
S.Fields,Persisters,Lewis Lab,,,,,,,
R.Dilworth,Uncultured Bacteria,Lewis Lab,,,,,,,
L.Kankanamge,Lyme Disease,Lewis Lab,,,,,,,
E.Micheloni,Drug Discovery,Lewis Lab,,,,,,,
A.Murphy,Nutrient enrichment of marshes,Bowen Lab,,,,,,,
A.Murphy,Understanding marsh carbon storage,Bowen Lab,,,,,Cellular Analogues,"Molecular level control over membrane surface chemistry allows cells to alter their binding affinity. Cells dynamically control their local molecular density, diffusivity, and membrane elasticity by organizing the ensemble of lipids, sugars, and proteins on their membranes. One model system mimics leukocyte-endothelial cell adhesions by complementing the assembly of molecules on cytokine-activated endothelial cell surfaces.",Bioresponsive Drug Delivery and Tissue Engineering Lab
A.Murphy,Plant Microbe interactions,Bowen Lab,,,,,Bioresponsive Drug Delivery,We investigate the use of stimuli-responsive polymers to alter the release profile of drugs and genetic materials from their carriers. Methods to trigger release can be used to increase the localization of chemotherapeutics within tumors and the efficiency of DNA and siRNA delivery.,Bioresponsive Drug Delivery and Tissue Engineering Lab
A.Murphy,Animal Microbe interactions,Bowen Lab,,,,,,,
J.L'Heureux,Plant Microbe interactions,Bowen Lab,,,,,,,
H.Sullivan,Controls on nitrous oxide fluxes,Bowen Lab,,,,,,,
A.Martinez,Understanding marsh carbon storage,Bowen Lab,,,,,,,
J.Vinels,Controls on nitrous oxide fluxes,Bowen Lab,,,,,Hospital Community Benefits,"Center faculty members are using financial reports that tax-exempt hospitals are required to file with the Internal Revenue Service (I.R.S.) to examine patterns in the delivery of community benefits such as charity care and community-based health promotion activities. Using these data, Center faculty members conducted the first national assessment of community benefits provided by tax-exempt hospitals, which was published in the New England Journal of Medicine.",Center for Health Policy and Healthcare Research
K.McNally,Understanding marsh carbon storage,Bowen Lab,,,,,Pay-for-Performance and Quality of Care,"Center faculty members have conducted studies regarding the design and implementation of pay-for-performance programs for improving quality of care. In support of this research, Center faculty members have received funding from the Robert Wood Johnson Foundation and Agency for Healthcare Research and Quality.",Center for Health Policy and Healthcare Research
B.Donnelly,Plant Microbe interactions,Bowen Lab,,,,,Hospital Supply Chain,Center faculty members are conducting studies to identify best practices for managing hospital supply chains and the factors associated with supply chain management as a core competency for hospitals. Center faculty members have received funding from the Department of Veterans Affairs to study best practices and improvement opportunities for inventory management.,Center for Health Policy and Healthcare Research
S.Scarpino,COVID-19 modeling and wastewater surveillance,Emergent Epidemics Lab,,,,,Opioid Addiction,"Center faculty members are investigating different approaches for treating and reducing the risk of opioid addiction. One study, supported by the Centers for Disease Control and Prevention, is focusing on physician prescribing practices for opioids including Suboxone, a medication used for treating opioid use disorder. Another study is supported by the Abdul Latif Jameel Poverty Action Lab at MIT and is evaluating the use of educational messaging and financial incentives for reducing the use and misuse of prescription opioid medication.",Center for Health Policy and Healthcare Research
T.Hadzic,COVID-19 modeling and wastewater surveillance,Emergent Epidemics Lab,,,,,Hospital-Physician Integration,"Center faculty members have been conducting research regarding the performance implications for hospitals from employing physicians directly or through practice acquisitions. In a recently completed study, published in the journal Decision Sciences, Center faculty found hospital employment of physicians to be associated with better quality of cardiac care but that the strength of the relationship diminished for hospitals with well-developed service lines for cardiac care as determined in part by patient volumes and advanced information technology.",Center for Health Policy and Healthcare Research
D.Joseph,COVID-19 modeling and wastewater surveillance,Emergent Epidemics Lab,,,,,Medicare Quality Ratings,Center faculty members have examined the quality ratings that the Center for Medicare and Medicaid Services use for prescription drug plans participating in the Medicare Part D program. One such study published in Health Affairs investigated the influence of the socio-economic characteristics of a planís enrollees on its quality ratings for medication adherence.,Center for Health Policy and Healthcare Research
C.Yang,COVID-19 modeling and wastewater surveillance,Emergent Epidemics Lab,,,,,Low Value Care,"Center faculty are investigating health care services that offer relatively little value in terms of health benefits. A recently completed project focused on inappropriate diagnostic imaging services, funded by the National Institute for Health Care Management. In this study, center faculty have used the Massachusetts All Payer Database to to examine inappropriate diagnostic imaging based on guidelines from the American College of Radiology.",Center for Health Policy and Healthcare Research
W.Healy,COVID-19 modeling and wastewater surveillance,Emergent Epidemics Lab,,,,,,,
M.Zahedi,COVID-19 modeling and wastewater surveillance,Emergent Epidemics Lab,,,,,,,
M.Shrestha,COVID-19 modeling and wastewater surveillance,Emergent Epidemics Lab,,,,,,,
M.Di Pierro,Physical Genetics ,Di Pierro Lab,,,,,,,
R.Ouyang,Operations Research,MOCA Labs,,,,,,,
R.Ouyang,Interpretable data analytics,MOCA Labs,,,,,,,
R.Ouyang,Dynamic pattern recognition,MOCA Labs,,,,,,,
R.Ouyang,Optical Tomography,MOCA Labs,,,,,,,
S.Qian,Operations Research,MOCA Labs,,,,,,,
Y.Yin,Interpretable data analytics,MOCA Labs,,,,,,,
H.Huang,Dynamic pattern recognition,MOCA Labs,,,,,,,
H.Gu,Optical Tomography,MOCA Labs,,,,,,,
J.Liu,Operations Research,MOCA Labs,,,,,,,
X.Wang,Interpretable data analytics,MOCA Labs,,,,,,,
K.Chowdhury,Learning and Dynamic Spectrum Access,Next Generation Networks and Systems Lab (GENESYS),,,,,,,
D.Roy,Networked Robotics,Next Generation Networks and Systems Lab (GENESYS),,,,,,,
Y.Naderi,Perpetually Operating Internet of Things,Next Generation Networks and Systems Lab (GENESYS),,,,,,,
K.Alemdar,Learning and Dynamic Spectrum Access,Next Generation Networks and Systems Lab (GENESYS),,,,,,,
C.Bocanegra,Networked Robotics,Next Generation Networks and Systems Lab (GENESYS),,,,,,,
B.Salehi,Perpetually Operating Internet of Things,Next Generation Networks and Systems Lab (GENESYS),,,,,,,
S.Bencherif,Biomaterials Design,Laboratory for Advanced and Multiscale Polymeric Biomaterials (LAMP),,,,,,,
L.Eggermont,Tissue Engineering,Laboratory for Advanced and Multiscale Polymeric Biomaterials (LAMP),,,,,,,
T.Colombani,Cancer Immunotherapy,Laboratory for Advanced and Multiscale Polymeric Biomaterials (LAMP),,,,,,,
M.Zeevi,Biomaterials Design,Laboratory for Advanced and Multiscale Polymeric Biomaterials (LAMP),,,,,,,
K.Batt,Tissue Engineering,Laboratory for Advanced and Multiscale Polymeric Biomaterials (LAMP),,,,,,,
Z.Rogers,Cancer Immunotherapy,Laboratory for Advanced and Multiscale Polymeric Biomaterials (LAMP),,,,,,,
D.OíBrien,ìSeeingî Neighborhoods through ìBigî Data,Boston Area Research Initiative,,,,,,,
D.OíBrien,Custodianship in the Urban Commons,Boston Area Research Initiative,,,,,,,
D.OíBrien,Pursuing Equity in Boston Public Schools,Boston Area Research Initiative,,,,,,,
D.OíBrien,Segregation and Urban Mobility,Boston Area Research Initiative,,,,,,,
D.OíBrien,Problem Properties,Boston Area Research Initiative,,,,,,,
D.OíBrien,Making ìSmart Citiesî Smarter:,Boston Area Research Initiative,,,,,,,
Y.Bart,DATA Initiative,DATA Initiative,,,,,,,
K.Chan,DATA Initiative,DATA Initiative,,,,,,,
P.Ciuccarelli,DATA Initiative,DATA Initiative,,,,,,,
D.Cohen,DATA Initiative,DATA Initiative,,,,,,,
M.Eckelman,DATA Initiative,DATA Initiative,,,,,,,
K.Pauwels,DATA Initiative,DATA Initiative,,,,,,,
d.shaughnessy,Social Enterprise Institute,Social Enterprise Institute,,,,,,,
dittrich.a,Social Enterprise Institute,Social Enterprise Institute,,,,,,,
grun.a,Social Enterprise Institute,Social Enterprise Institute,,,,,,,
agoglia.a,Social Enterprise Institute,Social Enterprise Institute,,,,,,,
szaniawski.k,Social Enterprise Institute,Social Enterprise Institute,,,,,,,
fall.c,Social Enterprise Institute,Social Enterprise Institute,,,,,,,
D.Cokely,Sign Language Development,Center for Atypical Language Interpreting,,,,,,,
D.Cokely,Adult Communication Skills and Assessments,Center for Atypical Language Interpreting,,,,,,,
D.Cokely,Forensic Psychology,Center for Atypical Language Interpreting,,,,,,,
D.Doucette,Interpreting for Persons with Atypical Language,Center for Atypical Language Interpreting,,,,,,,
D.Doucette,Adult Communication Skills and Assessments,Center for Atypical Language Interpreting,,,,,,,
E.Kramer,Forensic Psychology,Center for Atypical Language Interpreting,,,,,,,
E.Kramer,Language Deprivation Syndrome,Center for Atypical Language Interpreting,,,,,,,
S.Flynn,Integrated Resilience Enhancement Solutions,Global Resilience Institute,,,,,,,
M.Bernstein,Cyber Resilience,Global Resilience Institute,,,,,,,
J.Stephens,Enterprise Continuity and Recovery Solutions,Global Resilience Institute,,,,,,,
R.White,Integrated Resilience Enhancement Solutions,Global Resilience Institute,,,,,,,
W.Edwards,Cyber Resilience,Global Resilience Institute,,,,,,,
M.Patterson,Enterprise Continuity and Recovery Solutions,Global Resilience Institute,,,,,,,
P.Anderson,Integrated Resilience Enhancement Solutions,Global Resilience Institute,,,,,,,
A.Valencia,Cyber Resilience,Global Resilience Institute,,,,,,,
S.Pickens,Enterprise Continuity and Recovery Solutions,Global Resilience Institute,,,,,,,
